,precision,recall,f1_score,specificity,support,true_positives,false_positives,false_negatives,true_negatives
Healthy (0),0.7274774774774775,0.8488830486202366,0.7835051546391752,0.42105263157894735,761,646,242,115,176
Tumor (1),0.6048109965635738,0.42105263157894735,0.4964739069111424,0.8488830486202366,418,176,115,242,646
